  No    Ref    V       B-V     U-B
 3247   158  15.220   0.820   0.210
 3248   158  15.850   1.150   0.560
 3250   158  15.350   0.940   0.230
 3251   158  16.060   0.880   0.790
 3253   158  14.660   0.810   0.230
 3255   158  15.340   0.940   0.190
 3256   158  13.410   1.530   1.450
 3258   158  15.660   0.950  -0.030
 3259   158  14.520   0.810   0.030
 3265   158  15.200   0.910   0.260
 3302   158  14.100   1.390   1.190
 3304   158  15.530   0.860   0.360
 3305   158  13.440   0.660   0.340
 3306   158  15.580   0.690   0.280
 3308   158  14.980   0.980   0.300
 3314   158  14.210   0.730   0.430
 3316   158  15.410   0.720   0.380
 3317   158  14.780   0.920   0.430
 3318   158  14.560   1.020   0.430
 3328   158  14.980   0.700   0.380
 3329   158  16.420   0.790   0.490
 3332   158  15.020   0.720   0.380
 3333   158  15.180   0.940   0.420
 3337   158  12.410   0.620   0.310
 3342   158  15.470   1.020   0.440
 3343   158  16.040   0.580   0.300
 3344   158  14.970   0.700   0.200
 3345   158  15.090   0.460   0.320
 3346   158  14.670   0.880   0.410
 3347   158  15.180   0.850   0.140
 3349   158  15.700   0.850   0.150
 3351   158  15.540   0.870   0.540
 3356   158  13.010   0.630   0.370
 3357   158  16.240   0.760   0.280
 3358   158  13.390   0.630   0.340
 3361   158  16.010   0.890   0.190
 3362   158  15.520   0.720   0.410
 3364   158  13.640   1.550   1.490
 4168   158  14.900   0.820   0.460
 4202   158  14.360   0.800   0.380
 4208   158  12.840   0.630   0.460
 4213   158  13.910   0.650   0.010
 4218   158  15.310   0.920   0.560
 4221   158  14.790   1.030   0.440
 4223   158  14.530   0.880   0.200
 4235   158  15.770   1.220   0.290
 4238   158  13.750   1.640   1.410
 4240   158  15.550   0.990   0.390
 4245   158  14.240   0.990   0.400
 4248   158  13.760   0.820   0.380
 4250   158  12.970   0.590   0.130
 4255   158  13.210   0.680   0.140
 4257   158  13.860   1.520   1.410
 4259   158  15.320   0.910   0.240
 4260   158  15.040   0.910   0.310
 4261   158  14.310   0.760   0.680
 4262   158  15.230   0.850   0.450
 4265   158  15.470   0.910   0.740
 4269   158  15.690   0.810   0.430
 4270   158  12.970   1.450   1.260
 4271   158  15.670   0.980   0.440
 4272   158  15.250   1.020   0.620
 4275   158  13.400   0.750   0.560
 4277   158  14.830   1.010   0.510
 4280   158  15.600   0.700   0.520
 4281   158  15.540   0.990   0.240
 4282   158  15.390   0.840   0.590
 4283   158  13.460   0.520   0.110
 4284   158  15.410   0.830   0.580
 4286   158  15.020   1.100   0.410
 4290   158  14.780   0.880   0.280
 4291   158  13.790   0.820   0.360
 4292   158  16.140   0.880   0.530
 4296   158  13.020   0.710   0.540
 4298   158  14.020   0.800   0.290
 4299   158  14.910   0.930   0.340
 4310   158  15.580   0.890   0.680
 4311   158  15.010   1.310   1.080
 4315   158  14.880   0.810   0.370
 4316   158  16.020   0.830   0.560
 4317   158  13.540   0.710   0.220
 4319   158  15.640   0.930   0.260
 4374   158  15.450   0.810   0.460
 4387   158  14.800   1.040   0.430
 4404   158  13.130   0.700   0.120
 4405   158  15.510   0.660  -0.020
 4445   158  14.650   0.970   0.440
 4446   158  14.940   0.800   0.450
 4447   158  15.810   0.920   0.700
 4448   158  15.310   0.950   0.500
 4455   158  13.940   0.710   0.460
 4456   158  15.560   0.840   0.440
 4457   158  15.280   1.090   0.420
 4460   158  14.380   0.770   0.470
 4463   158  15.010   0.510   0.270
 4508   158  14.380   0.950   0.570
 4509   158  14.510   0.690   0.360
 4512   158  13.920   0.610   0.400
 4527   158  15.570   0.990   0.290
 4529   158  15.360   1.020   0.560
 4532   158  14.210   0.780   0.320
 4535   158  15.660   0.780   0.370
 4539   158  14.840   0.780   0.310
 4540   158  14.560   0.680   0.390
 4541   158  15.380   0.700   0.530
 4546   158  13.350   0.810   0.320
 4547   158  13.400   0.450   0.310
 4549   158  15.560   1.070   0.060
 4552   158  15.390   1.000   0.610
 4554   158  15.690   0.920   0.120
 4555   158  13.310   0.950   0.460
 4556   158  14.880   0.910   0.420
 4570   158  12.600   1.280   0.930
 4577   158  15.170   0.930   0.260
 4579   158  15.150   0.640   0.490
 4581   158  15.660   1.110   0.410
 4582   158  14.690   1.260   1.120
 4583   158  14.900   0.970   0.350
 4585   158  15.300   0.930   0.280
 4589   158  15.710   0.750   0.620
 4591   158  15.660   0.920   0.100
 4592   158  15.840   0.580   0.410
 4594   158  13.820   0.640   0.310
 4601   158  15.790   0.860   0.310
 4602   158  15.100   0.750   0.490
 4604   158  14.630   0.740   0.140
 4606   158  12.300   1.530   1.530
 4607   158  13.940   0.810   0.150
 4612   158  16.060   0.830   0.270
 4613   158  14.920   0.830   0.330
 4616   158  14.510   0.940   0.580
 4618   158  15.140   0.940   0.120
 4622   158  14.420   0.680   0.420
 4626   158  15.650   1.020   0.280
 4628   158  15.700   0.680   0.490
 4632   158  15.480   0.650   0.340
 4634   158  15.540   0.690   0.380
 4635   158  13.050   0.940   0.680
 4636   158  12.830   0.400   0.150
 4642   158  15.040   0.770   0.450
 4643   158  15.290   1.010   0.510
 4644   158  15.150   0.980   0.410
 4645   158  13.820   0.550   0.300
 4646   158  15.270   0.500   0.400
 4647   158  16.090   0.760   0.320
 4649   158  15.760   0.810   0.270
 4650   158  13.840   1.410   1.270
 4658   158  16.060   0.790   0.430
 4660   158  15.270   0.960   0.150
 4662   158  15.510   1.000   0.290
 4664   158  13.390   0.580   0.420
 4666   158  14.810   0.550   0.260
 4667   158  14.500   0.670   0.460
 4668   158  13.290   1.470   1.240
 4672   158  15.480   0.580   0.380
 4673   158  15.680   0.670   0.380
 4675   158  15.280   0.670   0.260
 4677   158  15.710   0.920   0.190
 4679   158  15.440   0.960   0.220
 4685   158  14.950   0.700   0.290
 5034   158  14.690   0.830   0.280
 5082   158  12.540   0.580   0.300
 5083   158  13.080   0.510   0.100
 5111   158  15.800   0.660   0.260
 5113   158  14.860   0.600  -0.220
 5117   158  16.020   0.700   0.640
 5177   158  15.530   1.140   0.500
 5180   158  15.390   0.930   0.500
 5197   158  15.820   0.610   0.050
 5209   158  14.880   1.170   1.030
 5229   158  14.900   0.770   0.210
 5239   158  15.200   0.670   0.430
 5255   158  14.570   0.720   0.250
 5293   158  15.110   1.200   0.610
 5301   158  15.010   0.820   0.160
 5303   158  15.810   0.980   0.240
 5345   158  15.600   1.090   0.320
 5408   158  15.760   0.670   0.460
 5428   158  15.150   0.930   0.410
 5429   158  15.590   0.800   0.330
 5438   158  15.080   1.060   0.310
 5439   158  14.750   0.650   0.330
 5443   158  15.690   0.980   0.220
